transaction_id,amount,transaction_hour,merchant_category,foreign_transaction,location_mismatch,device_trust_score,velocity_last_24h,cardholder_age,is_fraud,log_amount,merchant_category_enc,risk_score,predicted_fraud,top_reasons
7001,7.12,5,Electronics,1,0,87,1,60,0,2.0943301541735866,1,0.01,0,device_trust_score (-4.03); transaction_hour (-2.58); velocity_last_24h (-2.20)
7002,37.21,14,Grocery,0,0,92,1,32,0,3.6430972614588084,3,0.01,0,device_trust_score (-3.05); transaction_hour (-2.51); foreign_transaction (-1.58)
7003,320.28,22,Clothing,0,0,30,0,50,0,5.7723130170633095,0,0.01,0,transaction_hour (-3.51); foreign_transaction (-2.14); location_mismatch (-2.03)
7004,262.03,23,Food,0,0,35,3,20,0,5.572268094113519,2,0.01,0,transaction_hour (-3.22); foreign_transaction (-2.08); velocity_last_24h (-1.99)
7005,77.72,12,Food,1,0,45,2,24,0,4.365897252743998,2,0.01,0,transaction_hour (-3.75); device_trust_score (-3.05); foreign_transaction (+2.31)
7006,85.12,20,Travel,0,0,87,4,63,0,4.4557416724961625,4,0.01,0,device_trust_score (-2.98); transaction_hour (-2.52); foreign_transaction (-1.62)
7007,137.27,21,Electronics,0,0,54,1,66,0,4.929208295400526,1,0.01,0,transaction_hour (-2.60); device_trust_score (-2.57); foreign_transaction (-1.66)
7008,0.04,11,Electronics,0,0,45,1,57,0,0.039220713153281295,1,0.01,0,transaction_hour (-2.64); device_trust_score (-2.38); velocity_last_24h (-1.65)
7009,49.69,12,Grocery,0,0,47,1,58,0,3.925728652484258,3,0.01,0,transaction_hour (-2.87); device_trust_score (-2.39); location_mismatch (-1.64)
7010,42.03,6,Grocery,0,0,85,4,69,0,3.7618975468505083,3,0.01,0,device_trust_score (-2.98); transaction_hour (-2.07); location_mismatch (-1.65)
7011,51.9,22,Grocery,0,0,54,3,22,0,3.9684033388642534,3,0.01,0,transaction_hour (-2.60); device_trust_score (-2.55); location_mismatch (-1.63)
7012,295.09,17,Travel,0,0,70,4,43,0,5.690663462163048,4,0.01,0,transaction_hour (-2.77); device_trust_score (-2.74); location_mismatch (-1.68)
7013,59.05,13,Clothing,0,0,84,2,69,0,4.095177548525992,0,0.01,0,device_trust_score (-2.93); transaction_hour (-2.49); foreign_transaction (-1.52)
7014,38.27,10,Grocery,0,0,42,4,54,0,3.6704608685899185,3,0.01,0,transaction_hour (-2.90); device_trust_score (-2.05); foreign_transaction (-1.76)
7015,126.31,13,Grocery,0,0,86,1,19,0,4.846625057073554,3,0.01,0,device_trust_score (-2.92); transaction_hour (-2.64); velocity_last_24h (-1.51)
7016,361.31,16,Grocery,0,0,69,2,67,0,5.892500198955394,3,0.01,0,device_trust_score (-2.78); transaction_hour (-2.63); location_mismatch (-1.71)
7017,49.72,23,Travel,0,0,85,0,18,0,3.9263203101289705,4,0.01,0,device_trust_score (-2.84); transaction_hour (-2.26); velocity_last_24h (-1.53)
7018,14.72,20,Food,0,0,83,3,21,0,2.7549337870010606,2,0.01,0,device_trust_score (-3.03); transaction_hour (-2.34); foreign_transaction (-1.51)
7019,79.32,1,Clothing,0,0,59,2,45,0,4.386018655943419,0,0.01,0,device_trust_score (-4.08); foreign_transaction (-2.30); location_mismatch (-2.08)
7020,247.85,18,Food,0,0,46,4,59,0,5.516850305304563,2,0.01,0,transaction_hour (-2.91); device_trust_score (-2.48); location_mismatch (-1.68)
7021,144.01,15,Electronics,1,0,48,0,27,0,4.976802705559804,1,0.01,0,transaction_hour (-3.70); device_trust_score (-3.41); foreign_transaction (+2.29)
7022,305.49,21,Electronics,0,0,75,2,32,0,5.725185128416607,1,0.01,0,device_trust_score (-2.86); transaction_hour (-2.63); foreign_transaction (-1.66)
7023,577.57,9,Grocery,0,0,89,3,35,0,6.3605595419064205,3,0.01,0,device_trust_score (-2.84); transaction_hour (-2.60); foreign_transaction (-1.71)
7024,283.21,21,Food,0,0,39,2,63,0,5.649713401532359,2,0.01,0,transaction_hour (-3.20); foreign_transaction (-2.25); velocity_last_24h (-1.95)
7025,166.65,7,Travel,0,0,52,1,56,0,5.121878472912238,4,0.01,0,transaction_hour (-2.56); device_trust_score (-2.43); foreign_transaction (-1.76)
